Random Number,Steps,Cache Hit Percentage
447877,125,0.00%
415918,130,0.00%
426337,174,0.00%
494929,94,0.00%
453149,63,0.00%
464129,169,0.00%
427262,130,0.00%
418732,112,0.00%
459203,94,0.00%
402554,161,0.00%
442071,187,0.00%
432864,42,0.00%
414006,143,0.00%
458303,156,0.00%
496384,58,0.00%
407471,143,0.00%
496510,213,0.00%
431209,218,0.00%
460699,156,0.00%
400524,68,0.00%
467256,107,0.00%
483335,94,0.00%
451799,86,0.00%
466689,169,0.00%
474850,76,0.00%
440687,187,0.00%
424826,125,0.00%
490092,169,0.00%
450706,112,0.00%
462370,200,0.00%
433793,187,0.00%
436409,143,0.00%
416114,135,0.00%
497957,213,0.00%
469164,107,0.00%
469263,244,0.00%
462085,50,0.00%
496427,120,0.00%
487995,182,0.00%
421288,143,0.00%
498981,89,0.00%
430065,249,0.00%
491979,138,0.00%
450813,138,0.00%
426194,174,0.00%
426188,174,0.00%
458285,156,0.00%
422704,50,0.00%
457397,156,0.00%
418983,236,0.00%
461055,200,0.00%
462480,81,0.00%
440144,156,0.00%
412853,81,0.00%
466995,107,0.00%
452821,37,0.00%
453541,125,0.00%
491822,45,0.00%
442912,112,0.00%
442073,187,0.00%
492018,63,0.00%
476705,244,0.00%
478483,76,0.00%
445958,156,0.00%
474662,169,0.00%
447646,94,0.00%
415220,174,0.00%
474573,99,0.00%
481899,120,0.00%
403214,68,0.00%
495861,120,0.00%
418706,174,0.00%
471106,169,0.00%
425665,112,0.00%
469519,81,0.00%
497301,58,0.00%
451853,138,0.00%
427803,156,0.00%
457831,231,0.00%
409250,143,0.00%
484614,138,0.00%
418885,143,0.00%
409556,174,0.00%
424757,99,0.00%
469565,182,0.00%
476551,138,0.00%
477578,76,0.00%
423105,130,0.00%
406198,205,0.00%
420490,104,0.00%
403005,68,0.00%
436042,187,0.00%
435021,143,0.00%
481488,45,0.00%
482000,68,0.00%
447509,156,0.00%
429133,125,0.00%
497220,63,0.00%
422082,81,0.00%
411032,55,0.00%
438260,187,0.00%
455769,81,0.00%
429738,94,0.00%
409366,205,0.00%
481435,120,0.00%
499257,112,0.00%
444493,143,0.00%
433287,156,0.00%
464887,138,0.00%
440150,156,0.00%
480364,120,0.00%
449500,187,0.00%
496862,120,0.00%
427746,99,0.00%
474257,125,0.00%
466426,156,0.00%
404297,68,0.00%
489662,151,0.00%
427358,81,0.00%
448322,112,0.00%
447978,94,0.00%
430363,130,0.00%
484365,107,0.00%
420825,81,0.00%
449677,200,0.00%
466364,107,0.00%
468335,231,0.00%
478810,107,0.00%
463584,63,0.00%
428243,218,0.00%
427668,73,0.00%
401843,68,0.00%
421838,104,0.00%
495233,182,0.00%
449036,63,0.00%
441099,169,0.00%
494490,63,0.00%
431355,94,0.00%
474387,200,0.00%
497203,63,0.00%
409331,112,0.00%
492577,182,0.00%
446702,94,0.00%
406192,112,0.00%
458150,94,0.00%
458785,107,0.00%
410445,174,0.00%
462447,169,0.00%
448446,231,0.00%
475630,125,0.00%
410768,55,0.00%
496424,151,0.00%
443819,81,0.00%
432959,94,0.00%
417249,86,0.00%
493496,169,0.00%
499324,182,0.00%
423410,174,0.00%
410131,161,0.00%
462907,169,0.00%
489480,37,0.00%
437800,63,0.00%
402576,161,0.00%
411317,112,0.00%
433032,143,0.00%
489440,89,0.00%
452417,112,0.00%
465348,76,0.00%
420794,68,0.00%
464630,138,0.00%
462550,81,0.00%
467953,169,0.00%
495033,213,0.00%
447078,156,0.00%
474145,99,0.00%
453182,107,0.00%
405863,117,0.00%
422416,143,0.00%
453455,63,0.00%
492136,63,0.00%
498046,350,0.00%
402050,68,0.00%
426386,99,0.00%
479691,169,0.00%
435009,187,0.00%
481462,107,0.00%
473186,107,0.00%
472159,138,0.00%
442698,94,0.00%
421144,205,0.00%
472892,244,0.00%
432177,99,0.00%
458944,81,0.00%
475469,125,0.00%
481321,68,0.00%
429802,143,0.00%
402734,112,0.00%
471564,125,0.00%
495151,120,0.00%
461355,200,0.00%
474020,63,0.00%
495527,213,0.00%
429307,249,0.00%
406879,60,0.00%
480432,182,0.00%
441279,200,0.00%
497888,89,0.00%
424121,174,0.00%
463695,169,0.00%
489170,200,0.00%
416256,50,0.00%
499568,112,0.00%
491220,182,0.00%
480469,169,0.00%
479258,138,0.00%
464055,182,0.00%
461930,50,0.00%
